,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,0
91,0.971,https://api.spotify.com/v1/audio-analysis/1SmiQ65iSAbPto6gPFlBYm,0.737,150440.0,0.175,1SmiQ65iSAbPto6gPFlBYm,0.000337,10.0,0.171,-9.912,1.0,0.0401,70.008,4.0,https://api.spotify.com/v1/tracks/1SmiQ65iSAbPto6gPFlBYm,audio_features,spotify:track:1SmiQ65iSAbPto6gPFlBYm,0.545,
92,0.0933,https://api.spotify.com/v1/audio-analysis/6PYnUsNEpYC7A4BS2sjw3L,0.786,255000.0,0.428,6PYnUsNEpYC7A4BS2sjw3L,1.1e-06,5.0,0.156,-10.011,0.0,0.31,97.001,4.0,https://api.spotify.com/v1/tracks/6PYnUsNEpYC7A4BS2sjw3L,audio_features,spotify:track:6PYnUsNEpYC7A4BS2sjw3L,0.556,
93,0.194,https://api.spotify.com/v1/audio-analysis/5PYQUBXc7NYeI1obMKSJK0,0.77,223523.0,0.882,5PYQUBXc7NYeI1obMKSJK0,0.0,8.0,0.316,-4.792,1.0,0.0602,99.991,4.0,https://api.spotify.com/v1/tracks/5PYQUBXc7NYeI1obMKSJK0,audio_features,spotify:track:5PYQUBXc7NYeI1obMKSJK0,0.385,
94,0.189,https://api.spotify.com/v1/audio-analysis/2zjGJ0dChMR0KxBZS15aqo,0.883,174100.0,0.525,2zjGJ0dChMR0KxBZS15aqo,0.0,2.0,0.0971,-8.054,0.0,0.0633,99.978,4.0,https://api.spotify.com/v1/tracks/2zjGJ0dChMR0KxBZS15aqo,audio_features,spotify:track:2zjGJ0dChMR0KxBZS15aqo,0.312,
95,0.23,https://api.spotify.com/v1/audio-analysis/5hVghJ4KaYES3BFUATCYn0,0.554,190067.0,0.498,5hVghJ4KaYES3BFUATCYn0,5.98e-06,9.0,0.795,-8.866,1.0,0.0685,79.635,4.0,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0,audio_features,spotify:track:5hVghJ4KaYES3BFUATCYn0,0.413,
96,0.361,https://api.spotify.com/v1/audio-analysis/1c0hsvHLELX6y8qymnpLKL,0.795,266087.0,0.783,1c0hsvHLELX6y8qymnpLKL,0.0,5.0,0.437,-4.271,1.0,0.0432,92.016,4.0,https://api.spotify.com/v1/tracks/1c0hsvHLELX6y8qymnpLKL,audio_features,spotify:track:1c0hsvHLELX6y8qymnpLKL,0.8,
97,0.0219,https://api.spotify.com/v1/audio-analysis/7f1zjZG77S891Uv4O68yfk,0.852,157693.0,0.73,7f1zjZG77S891Uv4O68yfk,0.0,1.0,0.336,-5.803,1.0,0.0579,92.506,4.0,https://api.spotify.com/v1/tracks/7f1zjZG77S891Uv4O68yfk,audio_features,spotify:track:7f1zjZG77S891Uv4O68yfk,0.394,
98,0.185,https://api.spotify.com/v1/audio-analysis/4guBZjUyrGoHsTahO3IHdj,0.686,116240.0,0.561,4guBZjUyrGoHsTahO3IHdj,0.0,10.0,0.114,-9.929,0.0,0.191,148.775,4.0,https://api.spotify.com/v1/tracks/4guBZjUyrGoHsTahO3IHdj,audio_features,spotify:track:4guBZjUyrGoHsTahO3IHdj,0.186,
99,0.068,https://api.spotify.com/v1/audio-analysis/3WBY2lhKzkxaG5bNscQrOG,0.686,206293.0,0.9,3WBY2lhKzkxaG5bNscQrOG,0.0,5.0,0.0985,-4.406,1.0,0.0614,155.963,4.0,https://api.spotify.com/v1/tracks/3WBY2lhKzkxaG5bNscQrOG,audio_features,spotify:track:3WBY2lhKzkxaG5bNscQrOG,0.962,
0,0.11,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,0.715,173325.0,0.624,5qmq61DAAOUaW8AUo8xKhh,0.0,4.0,0.123,-3.046,0.0,0.114,158.087,4.0,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,audio_features,spotify:track:5qmq61DAAOUaW8AUo8xKhh,0.412,
1,0.037,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,0.759,190960.0,0.54,0TK2YIli7K1leLovkQiNik,0.0,9.0,0.0945,-6.039,0.0,0.0287,116.947,4.0,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,audio_features,spotify:track:0TK2YIli7K1leLovkQiNik,0.75,
2,0.751,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,0.501,182161.0,0.405,7qEHsqek33rTcFNT9PFqLf,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,audio_features,spotify:track:7qEHsqek33rTcFNT9PFqLf,0.446,
3,2.23e-05,https://api.spotify.com/v1/audio-analysis/6XOeOZqaKcAR6WhvhPKSZh,0.179,216002.0,0.984,6XOeOZqaKcAR6WhvhPKSZh,1.18e-06,2.0,0.846,-1.928,1.0,0.135,169.915,4.0,https://api.spotify.com/v1/tracks/6XOeOZqaKcAR6WhvhPKSZh,audio_features,spotify:track:6XOeOZqaKcAR6WhvhPKSZh,0.241,
4,0.123,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,0.698,260640.0,0.454,6XHVuErjQ4XNm6nDPVCxVX,0.0,1.0,0.155,-6.756,0.0,0.151,92.932,4.0,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,audio_features,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,0.137,
5,0.342,https://api.spotify.com/v1/audio-analysis/6fTt0CH2t0mdeB2N9XFG5r,0.703,114893.0,0.594,6fTt0CH2t0mdeB2N9XFG5r,0.0,5.0,0.123,-6.146,0.0,0.0752,153.848,4.0,https://api.spotify.com/v1/tracks/6fTt0CH2t0mdeB2N9XFG5r,audio_features,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,0.475,
6,0.328,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.701,194088.0,0.425,2Fxmhks0bxGSBdJ92vM42m,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,4.0,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.562,
