,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
47,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,audio_features,7xkQdy0cy5ymoWT7nedvLz,spotify:track:7xkQdy0cy5ymoWT7nedvLz,https://api.spotify.com/v1/tracks/7xkQdy0cy5ymoWT7nedvLz,https://api.spotify.com/v1/audio-analysis/7xkQdy0cy5ymoWT7nedvLz,221253,4
48,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,audio_features,2p07VcUwRZ5sru3mJ0JogS,spotify:track:2p07VcUwRZ5sru3mJ0JogS,https://api.spotify.com/v1/tracks/2p07VcUwRZ5sru3mJ0JogS,https://api.spotify.com/v1/audio-analysis/2p07VcUwRZ5sru3mJ0JogS,192800,4
49,0.663,0.693,7,-5.776,0,0.0635,0.0379,0.0,0.162,0.391,120.026,audio_features,5ol0jvC2yFKm3E1GcIgU2n,spotify:track:5ol0jvC2yFKm3E1GcIgU2n,https://api.spotify.com/v1/tracks/5ol0jvC2yFKm3E1GcIgU2n,https://api.spotify.com/v1/audio-analysis/5ol0jvC2yFKm3E1GcIgU2n,186307,4
50,0.808,0.557,11,-9.339,0,0.0606,0.0808,0.000214,0.171,0.402,117.003,audio_features,3nD2QlUawU2UJY5BqOsPdC,spotify:track:3nD2QlUawU2UJY5BqOsPdC,https://api.spotify.com/v1/tracks/3nD2QlUawU2UJY5BqOsPdC,https://api.spotify.com/v1/audio-analysis/3nD2QlUawU2UJY5BqOsPdC,198276,4
51,0.512,0.965,11,-2.862,0,0.0842,0.000889,0.0,0.264,0.743,132.007,audio_features,4YAtIop3U0HsJ7jE94BCmX,spotify:track:4YAtIop3U0HsJ7jE94BCmX,https://api.spotify.com/v1/tracks/4YAtIop3U0HsJ7jE94BCmX,https://api.spotify.com/v1/audio-analysis/4YAtIop3U0HsJ7jE94BCmX,293720,4
52,0.584,0.849,0,-2.969,1,0.0284,1.76e-05,0.194,0.791,0.615,140.004,audio_features,0lIAJkyVBkmXq4Vz0BN0cc,spotify:track:0lIAJkyVBkmXq4Vz0BN0cc,https://api.spotify.com/v1/tracks/0lIAJkyVBkmXq4Vz0BN0cc,https://api.spotify.com/v1/audio-analysis/0lIAJkyVBkmXq4Vz0BN0cc,200480,4
53,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,audio_features,6kPJZM97LwdG9QIsT7khp6,spotify:track:6kPJZM97LwdG9QIsT7khp6,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,222653,4
54,0.606,0.655,6,-6.328,1,0.402,0.139,0.0,0.103,0.696,159.824,audio_features,67xBtV07CC73eFw7z5oCvU,spotify:track:67xBtV07CC73eFw7z5oCvU,https://api.spotify.com/v1/tracks/67xBtV07CC73eFw7z5oCvU,https://api.spotify.com/v1/audio-analysis/67xBtV07CC73eFw7z5oCvU,236686,4
55,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,audio_features,6g0Orsxv6glTJCt4cHsRsQ,spotify:track:6g0Orsxv6glTJCt4cHsRsQ,https://api.spotify.com/v1/tracks/6g0Orsxv6glTJCt4cHsRsQ,https://api.spotify.com/v1/audio-analysis/6g0Orsxv6glTJCt4cHsRsQ,206080,4
56,0.459,0.545,6,-4.874,1,0.0282,0.142,0.0,0.105,0.194,137.941,audio_features,6ZfXA2xakAvphXOSOJ3u1W,spotify:track:6ZfXA2xakAvphXOSOJ3u1W,https://api.spotify.com/v1/tracks/6ZfXA2xakAvphXOSOJ3u1W,https://api.spotify.com/v1/audio-analysis/6ZfXA2xakAvphXOSOJ3u1W,248587,3
57,0.681,0.694,0,-8.123,0,0.258,0.0252,0.0,0.541,0.659,156.149,audio_features,3cSuhzV7wKX5diQ8hos78P,spotify:track:3cSuhzV7wKX5diQ8hos78P,https://api.spotify.com/v1/tracks/3cSuhzV7wKX5diQ8hos78P,https://api.spotify.com/v1/audio-analysis/3cSuhzV7wKX5diQ8hos78P,310733,4
58,0.543,0.919,1,-4.831,0,0.0415,0.000441,0.0,0.238,0.498,125.017,audio_features,7rojor07Wzc7w3zXOxex80,spotify:track:7rojor07Wzc7w3zXOxex80,https://api.spotify.com/v1/tracks/7rojor07Wzc7w3zXOxex80,https://api.spotify.com/v1/audio-analysis/7rojor07Wzc7w3zXOxex80,195307,4
59,0.764,0.787,11,-8.994,0,0.163,0.0146,0.0,0.229,0.712,126.628,audio_features,1wS798B0OfnS1FYgBwAsaN,spotify:track:1wS798B0OfnS1FYgBwAsaN,https://api.spotify.com/v1/tracks/1wS798B0OfnS1FYgBwAsaN,https://api.spotify.com/v1/audio-analysis/1wS798B0OfnS1FYgBwAsaN,49047,4
60,0.682,0.513,1,-6.312,0,0.396,0.0128,0.0,0.212,0.338,130.085,audio_features,0wCC06ziWEkYOif44iFggw,spotify:track:0wCC06ziWEkYOif44iFggw,https://api.spotify.com/v1/tracks/0wCC06ziWEkYOif44iFggw,https://api.spotify.com/v1/audio-analysis/0wCC06ziWEkYOif44iFggw,248533,4
61,0.484,0.696,9,-5.634,0,0.0315,0.174,0.000178,0.346,0.25,127.504,audio_features,4dhgW3zbeHT5Kp5uB0cg1a,spotify:track:4dhgW3zbeHT5Kp5uB0cg1a,https://api.spotify.com/v1/tracks/4dhgW3zbeHT5Kp5uB0cg1a,https://api.spotify.com/v1/audio-analysis/4dhgW3zbeHT5Kp5uB0cg1a,233871,4
62,0.542,0.912,2,-3.543,1,0.115,0.244,0.000358,0.675,0.714,81.17,audio_features,4bhnjI1tnir1ieruGsRQaW,spotify:track:4bhnjI1tnir1ieruGsRQaW,https://api.spotify.com/v1/tracks/4bhnjI1tnir1ieruGsRQaW,https://api.spotify.com/v1/audio-analysis/4bhnjI1tnir1ieruGsRQaW,185453,4
63,0.496,0.82,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,110.977,audio_features,1yK9LISg5uBOOW5bT2Wm0i,spotify:track:1yK9LISg5uBOOW5bT2Wm0i,https://api.spotify.com/v1/tracks/1yK9LISg5uBOOW5bT2Wm0i,https://api.spotify.com/v1/audio-analysis/1yK9LISg5uBOOW5bT2Wm0i,249013,5
64,0.8,0.656,5,-5.874,0,0.114,0.0144,0.0,0.354,0.436,119.921,audio_features,0egGmGkZ8maYdEYo4RrVsZ,spotify:track:0egGmGkZ8maYdEYo4RrVsZ,https://api.spotify.com/v1/tracks/0egGmGkZ8maYdEYo4RrVsZ,https://api.spotify.com/v1/audio-analysis/0egGmGkZ8maYdEYo4RrVsZ,285894,4
65,0.674,0.916,2,-2.945,1,0.0332,0.0735,0.0,0.108,0.916,120.974,audio_features,7KnMHRj5xqsOGLv8lGCPa6,spotify:track:7KnMHRj5xqsOGLv8lGCPa6,https://api.spotify.com/v1/tracks/7KnMHRj5xqsOGLv8lGCPa6,https://api.spotify.com/v1/audio-analysis/7KnMHRj5xqsOGLv8lGCPa6,224267,4
66,0.294,0.794,7,-7.592,1,0.0636,6.55e-05,0.00696,0.0782,0.564,173.209,audio_features,5YmJAGZpx27kEnl2QuViv3,spotify:track:5YmJAGZpx27kEnl2QuViv3,https://api.spotify.com/v1/tracks/5YmJAGZpx27kEnl2QuViv3,https://api.spotify.com/v1/audio-analysis/5YmJAGZpx27kEnl2QuViv3,202773,4
67,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,audio_features,78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,145543,4
68,0.682,0.656,6,-4.67,1,0.0435,0.0737,0.0,0.353,0.607,130.089,audio_features,0uUNN1nSoUx1A4fkDCWDQ7,spotify:track:0uUNN1nSoUx1A4fkDCWDQ7,https://api.spotify.com/v1/tracks/0uUNN1nSoUx1A4fkDCWDQ7,https://api.spotify.com/v1/audio-analysis/0uUNN1nSoUx1A4fkDCWDQ7,183027,4
